,date,Oriental,Tanger-Tétouan-Al Hoceima,Fès-Meknès,Beni Mellal-Khénifra,Rabat-Salé-Kénitra,Casablanca-Settat,Marrakech-Safi,Draa-Tafilalet,Souss-Massa,Guelmim-Oued Noun,Laayoune-Sakia-El-Hamra,Dakhla-Oued Ed-Dahab
0,2014-01-01,131843.68424469317,93092.0027075038,94494.47233882254,63062.87816227028,97389.18381958504,137652.0654110022,101159.41821877648,70574.03541576098,73239.14987741374,26154.604526692747,71744.24585690533,32942.09056235134
1,2014-02-01,129066.64432803597,85558.97113555275,85411.06683746341,62965.9052675884,88985.07079140042,139918.47841530538,106477.61625558013,73125.79618029384,85314.49828259536,35724.736972316285,86537.8659484162,48540.58542332864
2,2014-03-01,125839.06390953349,90001.29426674957,94277.23444017288,68628.44442544172,95817.74164295474,146854.77710490927,113422.36493201983,87102.0068650751,92265.32225250793,48753.13734957064,159659.93189992363,119392.08391368727
3,2014-04-01,114641.40743094496,95796.14239838233,92468.82187179416,63216.047767025084,100797.58149700638,159795.38270718887,108056.07163489338,67452.56317595684,81395.67609751875,39820.96068414552,134870.14848203879,109252.28950105718
4,2014-05-01,125517.8132208368,103743.23746878516,96385.39035144672,63336.80649348465,102448.13935443798,144307.67101783608,98142.95278764656,51233.21420105184,58526.3277917741,22925.139472604485,74541.11136522231,44178.139672024416
5,2014-06-01,132450.29428964402,103715.14142898444,102624.91319592702,67203.08332937378,106445.77102844793,158776.33835580014,115071.10413476714,58908.986845882035,62474.52348666334,27259.118528799983,65580.91830598126,51655.16432630174
6,2014-07-01,134998.47018191282,108058.7750397715,106097.60725422215,67800.27866809562,108491.3635941039,147653.34639090896,116699.38702467682,58087.46879019507,69369.84207874603,22156.712000974196,52177.09553656679,38516.77191277363
7,2014-08-01,133666.7493867719,110018.39148089047,101814.23307690253,67371.57167660659,103805.15105189402,152086.15973291078,113474.84101218336,64341.48767560312,77790.32760003748,33819.334317175344,93486.29693638983,72566.15775489603
8,2014-09-01,127533.78461691101,95093.92990343535,86424.90238078735,61509.9959659035,88282.93569228084,135788.51648461912,105400.43239641238,73040.71354881862,82517.24596383753,39574.74206089757,121696.98076078901,95382.61744263078
9,2014-10-01,148562.85270557745,99662.73325590102,109607.90518154681,67515.9125627517,102568.56414159975,161581.48709199447,112513.4502308296,76489.42183201708,81469.81350086094,38061.837941527876,112143.15168640498,78520.5318349112
10,2014-11-01,82358.10437280843,91316.12542291067,74186.65632065928,45127.93733964775,93802.69749177435,146444.29276712376,77567.76856661109,8439.521740411168,41059.61866779278,3460.1455438503504,-868.970524821184,-17798.148533247044
11,2014-12-01,174025.5262039909,111731.75770553508,119335.65942153378,78576.65742392266,105350.40306617967,161004.43942531492,125411.86016340049,112888.78862909437,92400.1491922931,40404.917497742455,95335.57943228692,44510.70796869923
12,2015-01-01,138239.9539327785,101214.47842040157,96247.60268230469,64404.04781290212,95451.06278501403,158212.4641731194,108779.78068850475,76858.13864570219,83166.31147256997,33265.55977257084,81355.10427063031,51009.42189258755
13,2015-02-01,207240.33797336803,110653.28785295997,126824.35856561543,96712.27197612777,112595.45422359067,182481.84851878142,145895.87186026043,170958.48903783428,138531.8424823425,78069.41083084191,222785.89206552278,166691.44919097231
14,2015-03-01,142368.07701364974,105139.09377312641,101372.00592443072,69235.35984194984,102137.19215448378,164253.32259329862,109738.86333057101,83193.43952017093,89272.31815663383,44809.85468995162,131396.71280003787,100722.34692708851
15,2015-04-01,98868.56049293371,97712.5282567333,83405.11269005902,60202.16624248398,98213.17839124848,156051.69538224774,103464.09651873694,49228.42848799727,70149.57922614802,30994.781439631985,98933.64142183201,77367.0443823955
16,2015-05-01,123756.16522446589,107814.47272479479,99483.73438481898,65546.23531210814,103982.34726823002,158844.15801971455,98688.03128453225,50458.69253723967,61663.65225459457,27317.63760869876,75243.2414638319,57377.63313377599
17,2015-06-01,125410.28049690627,106389.78082509323,99004.79725632601,68244.95267834954,106651.19068128426,158087.99062559608,113588.98906623201,70470.21816057888,72957.73314640713,35511.04289690396,107718.91277726446,91247.38437168475
18,2015-07-01,123646.9529858172,113385.18922654654,96982.85668020134,61689.140307036054,104585.47953367728,164036.91900606744,109153.80286554637,43245.72590279305,60104.319067369,18251.844636569178,46963.17272856128,36314.713964370865
19,2015-08-01,92278.69414127366,104039.13706719984,73811.31426566176,50616.26722959592,88254.20818113406,135561.62880790004,81405.64757075037,17156.237194615736,41009.579405780714,1166.9460972823742,-1115.8046338860713,6438.16493484817
20,2015-09-01,102215.01680276709,100779.1861773257,85539.88967955357,61370.539521935505,99829.4701984466,157643.09877604013,106317.09817256118,40456.699206319005,67506.03421803177,29054.827497669336,88972.38690377888,73424.34860485434
21,2015-10-01,112230.80673513527,103656.91491947502,86427.32797394502,62338.18122487605,96936.85131940563,163665.3667183751,101958.47497426644,45996.89496671152,65013.75119604565,23467.075635823425,47705.01876320926,18032.452617223586
22,2015-11-01,140609.27214569403,116214.83165866615,109832.32058937856,72475.12109263599,102845.44357407386,160900.83900004008,115766.41412134438,79603.30758703718,81538.23352990011,34661.82256902171,93657.20063350209,62216.32203262125
23,2015-12-01,150426.8038052685,120933.6886429991,118853.34929800755,79520.43566121241,116402.49001969138,182761.5031763907,126005.42779881196,90362.2578885667,87727.12632344801,37224.818235609084,91237.32916077788,47971.26613485406
24,2016-01-01,142809.34239918858,106761.05878635102,102129.42137513388,66797.87041177708,104229.84559940934,171982.59258217816,111044.54801400714,72277.49216793582,77425.33195749173,27836.23472273767,43168.31426027707,-6435.822771779389
25,2016-02-01,141832.8119197681,94033.30380791606,108407.72155832605,74312.8161709784,106129.52320677352,163881.44048637318,117634.7133032066,75673.9288204848,87166.93034265547,41564.86479213369,99472.11844163439,39801.38828187926
26,2016-03-01,106221.7262093271,115343.81714073064,90399.40740986966,63807.809279541645,106256.7369886062,164263.7588098643,99421.42220573014,37447.598926920546,61327.39535955519,18686.306344199114,47863.92237513925,30213.840130490236
