,x matrix,y matrix,lon,lat,lon grid,lat grid,tile,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
0,600,600,-177.5,72.5,-177.5,72.5,75N180W,,,,,,,,,,,1.0299633741378784,0.9695024490356444,0.9827845692634584,2.787816286087036,,,,,,,,,0.9035345315933228,1.145329833030701,1.1502885818481443,0.6802732944488525,,,,,,,,,0.6657293438911438,1.6466448307037354,1.7404624223709106,,,,,,,,,,1.0459034442901611,1.5166727304458618,1.7738113403320312,1.0685029029846191,,,,,,,,,1.3568639755249023,1.2898958921432495,1.4449713230133057,3.398766040802002,,,,,,,,,0.7900000214576721,0.959999978542328,0.9800000190734864,1.7849999666213991,,,,,,,,,1.2999999523162842,1.2100000381469729,1.6200000047683716,1.8300000429153442,,,,,,,,,0.8299999833106995,0.949999988079071
1,1800,600,-172.5,72.5,-172.5,72.5,75N180W,,,,,,,,,,,0.9905059933662416,0.9483928680419922,0.7648276090621948,2.3434057235717773,,,,,,,,,0.4947296679019928,0.825077474117279,1.2494447231292725,0.6433619260787964,,,,,,,,,0.7978949546813965,1.5745962858200069,1.6209131479263306,,,,,,,,,,0.7038462162017822,1.3946746587753296,1.2751626968383791,1.372584581375122,,,,,,,,,1.339932560920715,1.1485748291015625,1.5011589527130127,4.5496439933776855,,,,,,,,,0.7300000190734863,0.8799999952316284,0.9499999880790709,,,,,,,,,,0.8999999761581421,1.2899999618530271,1.399999976158142,1.659999966621399,,,,,,,,,1.059999942779541,0.8100000023841858
2,3000,600,-167.5,72.5,-167.5,72.5,75N180W,,,,,,,,,,,0.7868974804878235,0.8704835176467896,1.0122677087783811,1.2216345071792605,,,,,,,,,0.507525622844696,0.8571668863296509,1.0965448617935178,0.6506022810935974,,,,,,,,,1.3035207986831665,1.25550639629364,1.4382224082946775,,,,,,,,,,3.5054733753204346,1.004768133163452,1.2029993534088137,0.5637515783309937,,,,,,,,,1.67106032371521,1.2540857791900637,1.1600821018218994,3.0654783248901367,,,,,,,,,1.0199999809265137,0.9200000166893004,0.9900000095367432,1.7200000286102295,,,,,,,,,0.7599999904632568,1.1799999475479126,1.3799999952316284,3.4700000286102295,,,,,,,,,0.6899999976158142,0.9200000166893005
3,4200,600,-162.5,72.5,-162.5,72.5,75N180W,,,,,,,,,,,1.1390455961227417,0.8832324743270874,1.0839319229125977,1.065425992012024,,,,,,,,,0.4182285368442536,0.7658818960189819,1.0701546669006348,0.28744739294052124,,,,,,,,,0.8929480314254761,1.2784684896469116,1.2908577919006348,,,,,,,,,,1.4398086071014404,0.916015088558197,1.2155516147613523,1.659193754196167,,,,,,,,,1.352771520614624,1.1085671186447144,1.244336485862732,2.717944383621216,,,,,,,,,0.5,0.9800000190734864,1.2400000095367432,,,,,,,,,,,1.3700000047683716,1.5,4.889999866485596,,,,,,,,,0.8199999928474426,0.9100000262260437
4,5400,600,-157.5,72.5,-157.5,72.5,75N180W,,,,,,,,,,,0.5885193347930908,1.190988063812256,0.8201406002044678,1.2995926141738892,,,,,,,,,0.7311317920684814,0.7437218427658081,0.998981237411499,0.4063861072063446,,,,,,,,,0.7787718176841736,1.3833568096160889,1.5328882932662964,,,,,,,,,,1.4950307607650757,1.3938007354736328,1.0557538270950315,0.7724447250366211,,,,,,,,,1.3014994859695437,1.2971911430358891,1.1577640771865845,2.1060290336608887,,,,,,,,,0.5799999833106995,0.8600000143051147,1.2799999713897705,,,,,,,,,,0.8999999761581421,1.100000023841858,1.5099999904632568,2.25,,,,,,,,,0.6600000262260437,0.8700000047683716
5,6600,600,-152.5,72.5,-152.5,72.5,75N180W,,,,,,,,,,,0.592720627784729,0.9266007542610168,0.8063338398933411,1.0289866924285889,,,,,,,,,0.4188210666179657,0.6375637054443359,0.9255770444869996,0.34406423568725586,,,,,,,,,0.8154907822608948,1.326276421546936,1.2280066013336182,,,,,,,,,,1.3678251504898071,1.1185250282287598,1.0491105318069458,0.6483893394470215,,,,,,,,,1.1425029039382937,1.4691704511642456,1.3938113451004028,4.251233577728272,,,,,,,,,0.6600000262260437,0.8299999833106995,0.8500000238418579,2.259999990463257,,,,,,,,,0.8799999952316284,1.1200000047683716,1.350000023841858,1.7799999713897705,,,,,,,,,0.8899999856948853,0.8399999737739563
6,7800,600,-147.5,72.5,-147.5,72.5,75N180W,,,,,,,,,,,0.4597585797309876,0.8155959248542786,0.7255266308784485,0.989237904548645,,,,,,,,,1.0523078441619873,0.6895965337753296,0.9361977577209472,0.3372131288051605,,,,,,,,,0.7158588767051697,1.2356890439987185,1.0045872926712036,,,,,,,,,,2.1768064498901367,1.0741569995880127,0.8232182264328003,0.3400431573390961,,,,,,,,,0.7867863774299622,0.9656413197517396,1.4014683961868286,2.1588566303253174,,,,,,,,,0.6600000262260437,0.9300000071525574,1.0199999809265137,1.75,,,,,,,,,0.8399999737739563,0.9300000071525574,1.600000023841858,2.0799999237060547,,,,,,,,,0.8600000143051147,0.7799999713897705
7,9000,600,-142.5,72.5,-142.5,72.5,75N180W,,,,,,,,,,,0.4552077651023865,0.8961748480796814,0.6293893456459045,0.8885931968688965,,,,,,,,,0.4533912241458893,0.5806834101676941,0.8591426014900208,0.33904585242271423,,,,,,,,,0.7056477665901184,1.1729230880737305,0.9956263303756714,,,,,,,,,,1.614135503768921,0.8896178007125854,1.580280303955078,0.3401052951812744,,,,,,,,,1.1784030199050903,0.8578634858131409,1.3726601600646973,1.6895725727081299,,,,,,,,,0.9300000071525574,0.7200000286102295,0.699999988079071,,,,,,,,,,0.7900000214576721,1.399999976158142,1.1299999952316284,1.9299999475479126,,,,,,,,,1.100000023841858,0.8799999952316284
8,10200,600,-137.5,72.5,-137.5,72.5,75N180W,,,,,,,,,,,0.4896374344825745,1.3104279041290283,0.6905655264854431,0.8497489094734192,,,,,,,,,0.5233744978904724,0.5348575115203857,0.7871474027633667,0.26875802874565125,,,,,,,,,0.5991335511207581,1.128445386886597,0.9314411282539368,,,,,,,,,,1.0231412649154663,0.8147189021110535,0.9154260158538818,0.3745293617248535,,,,,,,,,0.9723598957061768,0.7139706611633301,0.8104897141456604,1.8392821550369265,,,,,,,,,0.7200000286102295,0.7099999785423279,0.6600000262260437,,,,,,,,,,0.6700000166893005,1.1200000047683716,0.8100000023841858,0.9300000071525574,,,,,,,,,0.8299999833106995,0.8600000143051147
9,11400,600,-132.5,72.5,-132.5,72.5,75N180W,,,,,,,,,,,0.5050974488258362,0.598871648311615,0.5642947554588318,1.0610067844390871,,,,,,,,,0.5256699323654175,0.4417213499546051,0.61455237865448,0.21459370851516724,,,,,,,,,0.5616419911384583,1.0417196750640871,0.9052798748016356,,,,,,,,,,0.9244551062583924,1.131105661392212,0.8814888596534729,0.3216181397438049,,,,,,,,,0.9256889224052428,0.6895648241043091,0.7867016792297363,1.4483904838562012,,,,,,,,,0.75,0.6299999952316284,0.5400000214576721,0.4000000059604645,,,,,,,,,0.699999988079071,0.9900000095367432,0.8600000143051147,1.0099999904632568,,,,,,,,,0.699999988079071,0.7300000190734863
